"","Centre","Year","Pass1","Fail1","Total1","Pass1prop","Pass2","Fail2","Total2","Pass2prop","Totalpass","totalFails"
"271","Naas","2018",21012,21670,42682,0.492291832622651,19674,1765,21439,0.917673398945846,40686,23435
"272","Nenagh","2018",10929,11794,22723,0.480966421687277,10533,906,11439,0.920797272488854,21462,12700
"273","Northpoint 1","2018",27273,31482,58755,0.464181771764105,28300,2962,31262,0.905252383084895,55573,34444
"274","Northpoint 2","2018",40386,44195,84581,0.477483122687128,40557,3788,44345,0.914578870222122,80943,47983
"275","Portlaoise","2018",13402,10383,23785,0.563464368299348,9645,670,10315,0.935046049442559,23047,11053
"276","Skibbereen","2018",7069,8493,15562,0.454247526024933,7962,545,8507,0.935935112260491,15031,9038
"277","Sligo","2018",8981,9793,18774,0.478374347501864,9086,656,9742,0.932662697598029,18067,10449
"278","Tralee","2018",10941,9978,20919,0.52301735264592,9549,728,10277,0.929162206869709,20490,10706
"279","Tullamore","2018",10711,9296,20007,0.535362623081921,8794,615,9409,0.93463704963333,19505,9911
"280","Waterford","2018",19952,17383,37335,0.534404714075264,15514,1220,16734,0.927094538066212,35466,18603
"281","Westport","2018",9805,9927,19732,0.49690857490371,9023,734,9757,0.92477195859383,18828,10661
"282","Youghal","2018",7844,7694,15538,0.504826876045823,6733,564,7297,0.922707962176237,14577,8258
