"","Centre","Year","Pass1","Fail1","Total1","Pass1prop","Pass2","Fail2","Total2","Pass2prop","Totalpass","totalFails"
"54","Cahirciveen","2014",1753,1829,3582,0.489391401451703,NA,NA,NA,NA,1753,1829
"55","Carlow","2014",12361,15069,27430,0.450637987604812,NA,NA,NA,NA,12361,15069
"56","Carndonagh","2014",2875,3371,6246,0.460294588536663,NA,NA,NA,NA,2875,3371
"57","Carrick-on-Shannon","2014",5296,6609,11905,0.444855102897942,NA,NA,NA,NA,5296,6609
"58","Castlerea","2014",6713,8130,14843,0.452267061914707,NA,NA,NA,NA,6713,8130
"59","Cavan","2014",7012,8496,15508,0.452153727108589,NA,NA,NA,NA,7012,8496
"60","Charleville","2014",9251,7890,17141,0.539700134181203,NA,NA,NA,NA,9251,7890
"61","Clifden","2014",1503,2719,4222,0.355992420653719,NA,NA,NA,NA,1503,2719
"62","Cork-Blarney","2014",20612,23018,43630,0.472427228970892,NA,NA,NA,NA,20612,23018
"63","Cork-Little Island","2014",35318,30543,65861,0.536250588360335,NA,NA,NA,NA,35318,30543
"64","Deansgrange","2014",46052,40440,86492,0.532442306802941,NA,NA,NA,NA,46052,40440
"65","Derrybeg","2014",2493,2991,5484,0.454595185995624,NA,NA,NA,NA,2493,2991
"66","Donegal","2014",5034,5344,10378,0.485064559645404,NA,NA,NA,NA,5034,5344
"67","Drogheda","2014",15791,14395,30186,0.52312330219307,NA,NA,NA,NA,15791,14395
"68","Dundalk","2014",8621,10124,18745,0.459909309149106,NA,NA,NA,NA,8621,10124
"69","Ennis","2014",13941,17923,31864,0.437515691689681,NA,NA,NA,NA,13941,17923
"70","Enniscorthy","2014",15612,16702,32314,0.483134245218791,NA,NA,NA,NA,15612,16702
"71","Fonthill","2014",40424,50294,90718,0.445600652571706,NA,NA,NA,NA,40424,50294
"72","Galway","2014",25409,33733,59142,0.429626999425112,NA,NA,NA,NA,25409,33733
"73","Greenhills","2014",30717,30255,60972,0.503788624286558,NA,NA,NA,NA,30717,30255
"74","Kells","2014",14137,14077,28214,0.501063301906855,NA,NA,NA,NA,14137,14077
"75","Kilkenny","2014",15362,11014,26376,0.582423415225963,NA,NA,NA,NA,15362,11014
"76","Killarney","2014",10037,7411,17448,0.575252177900046,NA,NA,NA,NA,10037,7411
"77","Letterkenny","2014",9996,11712,21708,0.460475400773908,NA,NA,NA,NA,9996,11712
"78","Limerick","2014",23090,26156,49246,0.468870568167973,NA,NA,NA,NA,23090,26156
"79","Longford","2014",7172,8461,15633,0.458773108168618,NA,NA,NA,NA,7172,8461
"80","Macroom","2014",9281,7939,17220,0.538966318234611,NA,NA,NA,NA,9281,7939
"81","Monaghan","2014",5213,8023,13236,0.393850105772137,NA,NA,NA,NA,5213,8023
"82","Mullingar","2014",7942,8836,16778,0.473357968768626,NA,NA,NA,NA,7942,8836
"83","Naas","2014",20825,23571,44396,0.46907379043157,NA,NA,NA,NA,20825,23571
"84","Nenagh","2014",12392,12587,24979,0.496096721245847,NA,NA,NA,NA,12392,12587
"85","Northpoint 1","2014",26118,33177,59295,0.44047558816089,NA,NA,NA,NA,26118,33177
"86","Northpoint 2","2014",33628,36795,70423,0.477514448404641,NA,NA,NA,NA,33628,36795
"87","Portlaoise","2014",11137,9922,21059,0.528847523624104,NA,NA,NA,NA,11137,9922
"88","Skibbereen","2014",8302,7816,16118,0.515076312197543,NA,NA,NA,NA,8302,7816
"89","Sligo","2014",8810,10356,19166,0.459668162370865,NA,NA,NA,NA,8810,10356
"90","Tralee","2014",13457,9599,23056,0.58366585704372,NA,NA,NA,NA,13457,9599
"91","Tullamore","2014",9472,8546,18018,0.525696525696526,NA,NA,NA,NA,9472,8546
"92","Waterford","2014",18869,18214,37083,0.508831540058787,NA,NA,NA,NA,18869,18214
"93","Westport","2014",11189,10473,21662,0.516526636506324,NA,NA,NA,NA,11189,10473
"94","Youghal","2014",8185,7658,15843,0.516631951019378,NA,NA,NA,NA,8185,7658
"95","Abbeyfeale","2015",8642,7782,16424,0.526181198246469,7259,783,8042,0.902636160159164,15901,8565
"96","Arklow","2015",14582,14777,29359,0.49667904220171,12733,1351,14084,0.904075546719682,27315,16128
"97","Athlone","2015",9044,9121,18165,0.497880539499037,8720,788,9508,0.917122423222549,17764,9909
"98","Ballina","2015",8648,9352,18000,0.480444444444444,8638,662,9300,0.928817204301075,17286,10014
"99","Ballinasloe","2015",7332,6767,14099,0.520036882048372,6396,535,6931,0.922810561246573,13728,7302
"100","Cahir","2015",15884,15639,31523,0.503886051454493,14309,1262,15571,0.918951897758654,30193,16901
"101","Cahirciveen","2015",1930,1853,3783,0.510177108115252,1702,76,1778,0.957255343082115,3632,1929
"102","Carlow","2015",13711,16395,30106,0.455424167939946,14544,1568,16112,0.902681231380338,28255,17963
"103","Carndonagh","2015",3746,3845,7591,0.493479120010539,3693,375,4068,0.907817109144543,7439,4220
"104","Carrick-on-Shannon","2015",6038,7016,13054,0.462540217557837,6430,573,7003,0.918177923746966,12468,7589
"105","Castlerea","2015",7048,8229,15277,0.461347123126268,7529,725,8254,0.912163799370002,14577,8954
"106","Cavan","2015",7083,9212,16295,0.434673212641915,8820,1031,9851,0.895340574560958,15903,10243
"107","Charleville","2015",8620,9302,17922,0.48097310568017,8518,792,9310,0.914930182599356,17138,10094
"108","Clifden","2015",1734,2975,4709,0.368231046931408,2725,310,3035,0.897858319604613,4459,3285
"109","Cork-Blarney","2015",22123,24592,46715,0.473573798565771,21348,2198,23546,0.906650811178119,43471,26790
"110","Cork-Little Island","2015",40254,35872,76126,0.528781231116833,34612,3151,37763,0.916558536133252,74866,39023
"111","Deansgrange","2015",54974,44857,99831,0.550670633370396,43563,4081,47644,0.914343883804886,98537,48938
"112","Derrybeg","2015",2625,3378,6003,0.43728135932034,3242,270,3512,0.923120728929385,5867,3648
"113","Donegal","2015",5971,5679,11650,0.512532188841202,5326,606,5932,0.897842211732974,11297,6285
"114","Drogheda","2015",19157,17852,37009,0.517630846550839,16003,1646,17649,0.90673692560485,35160,19498
"115","Dundalk","2015",10875,12687,23562,0.461548255665903,11465,1341,12806,0.895283460877714,22340,14028
"116","Ennis","2015",15448,17534,32982,0.46837669031593,16230,1693,17923,0.905540367126039,31678,19227
"117","Enniscorthy","2015",17397,19221,36618,0.475094215959364,17929,1721,19650,0.912417302798982,35326,20942
"118","Fonthill","2015",42483,51264,93747,0.453166501328042,43791,4963,48754,0.898203224350822,86274,56227
"119","Galway","2015",27818,33163,60981,0.456174874141126,30514,3043,33557,0.909318473045862,58332,36206
"120","Greenhills","2015",36201,38130,74331,0.487024256366792,36347,3854,40201,0.904131738016467,72548,41984
"121","Kells","2015",15878,18118,33996,0.467054947640899,15756,1722,17478,0.901476141434947,31634,19840
"122","Kilkenny","2015",16138,12684,28822,0.559919505932968,12185,798,12983,0.938535007317261,28323,13482
"123","Killarney","2015",11252,8641,19893,0.565626099633037,8345,551,8896,0.938062050359712,19597,9192
"124","Letterkenny","2015",10388,12883,23271,0.446392505693782,11833,1231,13064,0.905771586037967,22221,14114
"125","Limerick","2015",25462,26796,52258,0.487236403995561,26039,2837,28876,0.901752320265965,51501,29633
"126","Longford","2015",6379,8718,15097,0.422534278333444,7763,980,8743,0.88791032826261,14142,9698
"127","Macroom","2015",9094,7950,17044,0.533560197136822,7339,577,7916,0.92710965133906,16433,8527
"128","Monaghan","2015",5600,9069,14669,0.381757447678778,8245,990,9235,0.892799133730374,13845,10059
"129","Mullingar","2015",9527,11395,20922,0.45535799636746,10300,997,11297,0.911746481366735,19827,12392
"130","Naas","2015",23516,27333,50849,0.46246730515841,23115,2319,25434,0.908822835574428,46631,29652
"131","Nenagh","2015",13076,13998,27074,0.482972593632267,12622,1152,13774,0.916364164367649,25698,15150
"132","Northpoint 1","2015",31748,36334,68082,0.466320025851179,33943,4114,38057,0.891898993614841,65691,40448
"133","Northpoint 2","2015",43951,48898,92849,0.473359971566737,43822,4523,48345,0.906443272313579,87773,53421
"134","Portlaoise","2015",14511,11563,26074,0.556531410600598,10465,802,11267,0.928818674003728,24976,12365
"135","Skibbereen","2015",8043,8829,16872,0.476706970128023,8250,582,8832,0.934103260869565,16293,9411
"136","Sligo","2015",9650,11275,20925,0.461170848267622,10443,876,11319,0.922608004240657,20093,12151
"137","Tralee","2015",13911,10466,24377,0.570660868851787,9793,807,10600,0.923867924528302,23704,11273
"138","Tullamore","2015",11989,10740,22729,0.527475911830701,9850,832,10682,0.922111964051676,21839,11572
"139","Waterford","2015",21418,19759,41177,0.520144740996187,17686,1760,19446,0.909492954849326,39104,21519
"140","Westport","2015",11216,11379,22595,0.496393007302501,10615,814,11429,0.928777670837344,21831,12193
"141","Youghal","2015",8199,8543,16742,0.489726436506988,7570,649,8219,0.921036622460153,15769,9192
"142","Abbeyfeale","2016",8865,7465,16330,0.542865890998163,6913,729,7642,0.904606124051295,15778,8194
"143","Arklow","2016",12971,15525,28496,0.455186692869175,13299,1535,14834,0.896521504651476,26270,17060
"144","Athlone","2016",8866,10165,19031,0.46587147286007,9185,934,10119,0.90769838916889,18051,11099
"145","Ballina","2016",8185,9724,17909,0.457032776816126,8953,664,9617,0.930955599459291,17138,10388
"146","Ballinasloe","2016",8207,7122,15329,0.535390436427686,6651,537,7188,0.925292153589315,14858,7659
"147","Cahir","2016",14915,15779,30694,0.485925588062814,13911,1310,15221,0.913934695486499,28826,17089
"148","Cahirciveen","2016",1840,1758,3598,0.511395219566426,1601,85,1686,0.949584816132859,3441,1843
"149","Carlow","2016",12642,16324,28966,0.436442725954567,14421,1483,15904,0.906753018108652,27063,17807
"150","Carndonagh","2016",3770,3425,7195,0.523974982626824,3297,293,3590,0.918384401114206,7067,3718
"151","Carrick-on-Shannon","2016",5939,7269,13208,0.449651726226529,6675,633,7308,0.913382594417077,12614,7902
"152","Castlerea","2016",6706,8234,14940,0.448862115127175,7226,656,7882,0.916772392793707,13932,8890
"153","Cavan","2016",6906,9072,15978,0.432219301539617,8340,1007,9347,0.89226489782818,15246,10079
"154","Charleville","2016",8870,8858,17728,0.50033844765343,8009,669,8678,0.922908504263655,16879,9527
"155","Clifden","2016",1736,2781,4517,0.384325880008855,2499,261,2760,0.905434782608696,4235,3042
"156","Cork-Blarney","2016",20838,23883,44721,0.465955591332931,20177,2217,22394,0.90100026792891,41015,26100
"157","Cork-Little Island","2016",36202,33763,69965,0.51743014364325,32573,3059,35632,0.914150202065559,68775,36822
"158","Deansgrange","2016",54284,44861,99145,0.547521307176358,43434,4005,47439,0.915575792069816,97718,48866
"159","Derrybeg","2016",2489,3303,5792,0.429730662983425,3080,177,3257,0.945655511206632,5569,3480
"160","Donegal","2016",5596,5532,11128,0.502875629043853,5042,565,5607,0.899233101480292,10638,6097
"161","Drogheda","2016",19363,18763,38126,0.5078686460683,16566,1706,18272,0.906633099824869,35929,20469
"162","Dundalk","2016",10240,12294,22534,0.454424425312861,11126,1367,12493,0.890578724085488,21366,13661
"163","Ennis","2016",15090,17614,32704,0.4614114481409,15871,1693,17564,0.90360965611478,30961,19307
"164","Enniscorthy","2016",17479,20676,38155,0.458105097628096,18176,1786,19962,0.910530007013325,35655,22462
"165","Fonthill","2016",43073,54909,97982,0.439601151231859,45521,5405,50926,0.893865608922751,88594,60314
"166","Galway","2016",27760,32122,59882,0.463578370795899,29334,2964,32298,0.908229611740665,57094,35086
"167","Greenhills","2016",29909,34135,64044,0.467007057647867,34051,3985,38036,0.895230833946787,63960,38120
"168","Kells","2016",15856,18128,33984,0.466572504708098,15790,1819,17609,0.896700550854677,31646,19947
"169","Kilkenny","2016",15981,12731,28712,0.556596544998607,12171,966,13137,0.926467229961178,28152,13697
"170","Killarney","2016",10956,9066,20022,0.547198082109679,8708,533,9241,0.942322259495726,19664,9599
"171","Letterkenny","2016",10296,11908,22204,0.463700234192037,11142,1078,12220,0.911783960720131,21438,12986
"172","Limerick","2016",25889,29314,55203,0.468978135246273,27481,3167,30648,0.896665361524406,53370,32481
"173","Longford","2016",6167,8524,14691,0.419780818188006,7607,922,8529,0.891898229569703,13774,9446
"174","Macroom","2016",8688,8122,16810,0.516835217132659,7272,484,7756,0.937596699329551,15960,8606
"175","Monaghan","2016",5497,8638,14135,0.388892819243014,7676,1090,8766,0.87565594341775,13173,9728
"176","Mullingar","2016",8949,10906,19855,0.450717703349282,9891,989,10880,0.909099264705882,18840,11895
"177","Naas","2016",22391,27564,49955,0.448223401060955,23189,2442,25631,0.904724747376224,45580,30006
"178","Nenagh","2016",12207,12662,24869,0.490852064819655,11179,1060,12239,0.91339161696217,23386,13722
"179","Northpoint 1","2016",28931,34213,63144,0.458174965159002,31151,3726,34877,0.893167416922327,60082,37939
